Hindi,English,Mundari,Mundari_English_Pronounciation
यह गाय है।,this is a cow.,नेआ गाय मेना:।,neaa gaaya menaa:।
यह बैल है।,This is a bull.,नेआ बैल मेना:।,neaa baila menaa:।
यह बछड़ा है।,This is a calf.,नेआ बछड़ा मेना:।,neaa bachhadaaa menaa:।
यह भैंस है।,This is a buffalo.,नेआ भैंस मेना:।,neaa bhainsa menaa:।
यह भैंस है।,This is a buffalo.,नेआ भैंस मेना:।,neaa bhainsa menaa:।
यह बछड़ा है।,This is a calf.,नेआ बछड़ा मेना:।,neaa bachhadaaa menaa:।
यह बकरी है।,This is a goat.,नेआ बकरी मेना:।,neaa bakarii menaa:।
यह सुअर है।,This is a pig.,नेआ सुअर मेना:।,neaa suara menaa:।
यह भेड़ है।,This is a sheep.,नेआ जागार मेना:।,neaa jaagaara menaa:।
यह हाथी है।,This is an elephant.,नेआ हाथी मेना:।,neaa haathii menaa:।
यह घोड़ा है।,This is a horse.,नेआ घोड़ा मेना:।,neaa ghodaaa menaa:।
यह ऊँट है।,This is a camel.,नेआ ऊंट मेना:।,neaa uunta menaa:।
यह गधा है।,This is a donkey.,नेआ गधा मेना:।,neaa gadhaa menaa:।
यह कुत्ता है।,This is a dog.,नेआ कुत्ता मेना:।,neaa kuttaa menaa:।
यह बिल्ली है।,This is a cat.,नेआ बिल्ली मेना:।,neaa billii menaa:।
यह शेर है।,This is a lion.,नेआ शेर मेना:।,neaa shera menaa:।
यह बाघ है।,This is a tiger.,नेआ बाघ मेना:।,neaa baagha menaa:।
यह तेंदुआ है।,This is a leopard.,नेआ तेंदुआ मेना:।,neaa tenduaa menaa:।
यह लोमड़ी है।,This is a fox.,नेआ लोमड़ी मेना:।,neaa lomadaii menaa:।
यह भेड़िया है।,This is a wolf.,नेआ भड़िया मेना:।,neaa bhadaiyaa menaa:।
यह लकड़बग्घा है।,This is a hyena.,नेआ लकड़बग्घा मेना:।,neaa lakadaabagghaa menaa:।
यह भालू है।,This is a bear.,नेआ भालू मेना:।,neaa bhaaluu menaa:।
यह बंदर है।,This is a monkey.,नेआ बंदर मेना:।,neaa bandara menaa:।
यह लंगूर है।,This is a monkey.,नेआ लंगूर मेना:।,neaa languura menaa:।
यह हिरण है |,This is a deer.,ने हिरण मेना:,ne hirana menaa:
